id,name,pop2018,fips
0500000US01003,"Baldwin County, Alabama",218022,01003
0500000US01015,"Calhoun County, Alabama",114277,01015
0500000US01043,"Cullman County, Alabama",83442,01043
0500000US01049,"DeKalb County, Alabama",71385,01049
0500000US01051,"Elmore County, Alabama",81887,01051
0500000US01055,"Etowah County, Alabama",102501,01055
0500000US01069,"Houston County, Alabama",104722,01069
0500000US01073,"Jefferson County, Alabama",659300,01073
0500000US01077,"Lauderdale County, Alabama",92387,01077
0500000US01081,"Lee County, Alabama",163941,01081
0500000US01083,"Limestone County, Alabama",96174,01083
0500000US01089,"Madison County, Alabama",366519,01089
0500000US01095,"Marshall County, Alabama",96109,01095
0500000US01097,"Mobile County, Alabama",413757,01097
0500000US01101,"Montgomery County, Alabama",225763,01101
0500000US01103,"Morgan County, Alabama",119089,01103
0500000US01115,"St. Clair County, Alabama",88690,01115
0500000US01117,"Shelby County, Alabama",215707,01117
0500000US01121,"Talladega County, Alabama",79828,01121
0500000US01125,"Tuscaloosa County, Alabama",208911,01125
0500000US01127,"Walker County, Alabama",63711,01127
0500000US02020,"Anchorage Municipality, Alaska",291538,02020
0500000US02090,"Fairbanks North Star Borough, Alaska",98971,02090
0500000US02170,"Matanuska-Susitna Borough, Alaska",107610,02170
0500000US04001,"Apache County, Arizona",71818,04001
0500000US04003,"Cochise County, Arizona",126770,04003
0500000US04005,"Coconino County, Arizona",142854,04005
0500000US04013,"Maricopa County, Arizona",4410824,04013
0500000US04015,"Mohave County, Arizona",209550,04015
0500000US04017,"Navajo County, Arizona",110445,04017
0500000US04019,"Pima County, Arizona",1039073,04019
0500000US04021,"Pinal County, Arizona",447138,04021
0500000US04025,"Yavapai County, Arizona",231993,04025
0500000US04027,"Yuma County, Arizona",212128,04027
0500000US05007,"Benton County, Arkansas",272608,05007
0500000US05031,"Craighead County, Arkansas",108558,05031
0500000US05045,"Faulkner County, Arkansas",124806,05045
0500000US05051,"Garland County, Arkansas",99154,05051
0500000US05069,"Jefferson County, Arkansas",68114,05069
0500000US05085,"Lonoke County, Arkansas",73657,05085
0500000US05119,"Pulaski County, Arkansas",392680,05119
0500000US05125,"Saline County, Arkansas",121421,05125
0500000US05131,"Sebastian County, Arkansas",127753,05131
0500000US05143,"Washington County, Arkansas",236961,05143
0500000US05145,"White County, Arkansas",78727,05145
0500000US06001,"Alameda County, California",1666753,06001
0500000US06007,"Butte County, California",231256,06007
0500000US06013,"Contra Costa County, California",1150215,06013
0500000US06017,"El Dorado County, California",190678,06017
0500000US06019,"Fresno County, California",994400,06019
0500000US06023,"Humboldt County, California",136373,06023
0500000US06025,"Imperial County, California",181827,06025
0500000US06029,"Kern County, California",896764,06029
0500000US06031,"Kings County, California",151366,06031
0500000US06033,"Lake County, California",64382,06033
0500000US06037,"Los Angeles County, California",10105518,06037
0500000US06039,"Madera County, California",157672,06039
0500000US06041,"Marin County, California",259666,06041
0500000US06045,"Mendocino County, California",87606,06045
0500000US06047,"Merced County, California",274765,06047
0500000US06053,"Monterey County, California",435594,06053
0500000US06055,"Napa County, California",139417,06055
0500000US06057,"Nevada County, California",99696,06057
0500000US06059,"Orange County, California",3185968,06059
0500000US06061,"Placer County, California",393149,06061
0500000US06065,"Riverside County, California",2450758,06065
0500000US06067,"Sacramento County, California",1540975,06067
0500000US06071,"San Bernardino County, California",2171603,06071
0500000US06073,"San Diego County, California",3343364,06073
0500000US06075,"San Francisco County, California",883305,06075
0500000US06077,"San Joaquin County, California",752660,06077
0500000US06079,"San Luis Obispo County, California",284010,06079
0500000US06081,"San Mateo County, California",769545,06081
0500000US06083,"Santa Barbara County, California",446527,06083
0500000US06085,"Santa Clara County, California",1937570,06085
0500000US06087,"Santa Cruz County, California",274255,06087
0500000US06089,"Shasta County, California",180040,06089
0500000US06095,"Solano County, California",446610,06095
